,Week_id,Player,Pos,Tm,Passingyds,Passingtd,Int,Passingatt,Cmp,Rushingatt,Rushingyds,Rushingtd,Rec,Tgt,Receivingyds,Receivingtd,Fl,Pprfantasypoints,Standardfantasypoints,Halfpprfantasypoints
0,2019_13,John Brown,WR,BUF,28.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,4.0,26.0,0.0,0.0,10.72,7.720000000000001,9.22
1,2019_13,Deshaun Watson,QB,HOU,234.0,3.0,0.0,25.0,18.0,4.0,-1.0,0.0,1.0,1.0,6.0,1.0,0.0,28.86,27.86,28.36
2,2019_13,DeAndre Hopkins,WR,HOU,6.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,5.0,8.0,64.0,0.0,0.0,15.64,10.64,13.14
3,2019_13,Ryan Tannehill,QB,TEN,182.0,2.0,0.0,22.0,17.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,13.78,13.78,13.78
4,2019_13,Aaron Rodgers,QB,GNB,243.0,4.0,0.0,33.0,21.0,3.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,28.12,28.12,28.12
5,2019_13,Josh Allen,QB,BUF,231.0,1.0,0.0,24.0,19.0,10.0,43.0,1.0,0.0,0.0,0.0,0.0,0.0,23.540000000000003,23.540000000000003,23.540000000000003
6,2019_13,Jared Goff,QB,LAR,424.0,2.0,0.0,43.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.96,24.96,24.96
7,2019_13,Matt Haack,P,MIA,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.04,4.04,4.04
8,2019_13,Mitchell Trubisky,QB,CHI,338.0,3.0,1.0,38.0,29.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,23.92,23.92,23.92
9,2019_13,Ryan Fitzpatrick,QB,MIA,365.0,3.0,1.0,39.0,27.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,24.8,24.8,24.8
10,2019_13,Jimmy Garoppolo,QB,SFO,165.0,1.0,0.0,21.0,15.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,9.1,9.1,9.1
11,2019_13,Philip Rivers,QB,LAC,265.0,2.0,1.0,29.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.6,16.6,16.6
12,2019_13,Russell Wilson,QB,SEA,240.0,2.0,1.0,31.0,21.0,4.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,16.900000000000002,16.900000000000002,16.900000000000002
13,2019_13,Devlin Hodges,QB,PIT,212.0,1.0,1.0,21.0,14.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,10.68,10.68,10.68
14,2019_13,Carson Wentz,QB,PHI,310.0,3.0,1.0,46.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.4,22.4,22.4
15,2019_13,Dak Prescott,QB,DAL,355.0,2.0,1.0,49.0,32.0,4.0,25.0,0.0,0.0,0.0,0.0,0.0,1.0,20.7,20.7,20.7
16,2019_13,Jameis Winston,QB,TAM,268.0,0.0,0.0,33.0,21.0,6.0,20.0,0.0,0.0,0.0,0.0,0.0,1.0,10.72,10.72,10.72
17,2019_13,Drew Brees,QB,NOR,184.0,1.0,0.0,30.0,18.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,11.26,11.26,11.26
18,2019_13,Andy Dalton,QB,CIN,243.0,1.0,0.0,37.0,22.0,5.0,-4.0,0.0,0.0,0.0,0.0,0.0,0.0,13.32,13.32,13.32
19,2019_13,David Blough,QB,DET,280.0,2.0,1.0,38.0,22.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,17.3,17.3,17.3
20,2019_13,Kirk Cousins,QB,MIN,276.0,2.0,1.0,38.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.04,17.04,17.04
21,2019_13,Lamar Jackson,QB,BAL,105.0,1.0,0.0,23.0,14.0,16.0,101.0,1.0,0.0,0.0,0.0,0.0,1.0,22.3,22.3,22.3
22,2019_13,Tom Brady,QB,NWE,326.0,3.0,1.0,47.0,24.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,24.34,24.34,24.34
23,2019_13,Drew Lock,QB,DEN,134.0,2.0,1.0,28.0,18.0,3.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,12.86,12.86,12.86
24,2019_13,Matt Ryan,QB,ATL,312.0,2.0,2.0,50.0,35.0,3.0,21.0,0.0,0.0,0.0,0.0,0.0,1.0,16.580000000000002,16.580000000000002,16.580000000000002
25,2019_13,Patrick Mahomes,QB,KAN,175.0,1.0,0.0,29.0,15.0,3.0,25.0,1.0,0.0,0.0,0.0,0.0,0.0,19.5,19.5,19.5
26,2019_13,Kyle Allen,QB,CAR,278.0,2.0,1.0,46.0,27.0,4.0,22.0,1.0,0.0,0.0,0.0,0.0,1.0,23.32,23.32,23.32
27,2019_13,Jacoby Brissett,QB,IND,319.0,1.0,2.0,40.0,25.0,1.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,12.659999999999997,12.659999999999997,12.659999999999997
28,2019_13,Baker Mayfield,QB,CLE,196.0,1.0,1.0,32.0,18.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,8.04,8.04,8.04
29,2019_13,Derek Carr,QB,OAK,222.0,1.0,2.0,30.0,20.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,9.58,9.58,9.58
