,Week_id,Player,Pos,Tm,Passingyds,Passingtd,Int,Passingatt,Cmp,Rushingatt,Rushingyds,Rushingtd,Rec,Tgt,Receivingyds,Receivingtd,Fl,Pprfantasypoints,Standardfantasypoints,Halfpprfantasypoints
0,2019_15,Drew Brees,QB,NOR,307.0,4.0,0.0,30.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.28,28.28,28.28
1,2019_15,Russell Wilson,QB,SEA,286.0,2.0,0.0,26.0,20.0,3.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,19.34,19.34,19.34
2,2019_15,Lamar Jackson,QB,BAL,212.0,5.0,0.0,23.0,15.0,8.0,86.0,0.0,0.0,0.0,0.0,0.0,0.0,37.08,37.08,37.08
3,2019_15,Jameis Winston,QB,TAM,458.0,4.0,1.0,42.0,28.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,32.72,32.72,32.72
4,2019_15,Dak Prescott,QB,DAL,212.0,2.0,0.0,23.0,15.0,7.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,17.68,17.68,17.68
5,2019_15,Dwayne Haskins,QB,WAS,261.0,2.0,0.0,28.0,19.0,3.0,26.0,0.0,0.0,0.0,0.0,0.0,1.0,19.04,19.04,19.04
6,2019_15,Patrick Mahomes,QB,KAN,340.0,2.0,1.0,34.0,27.0,3.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,20.700000000000003,20.700000000000003,20.700000000000003
7,2019_15,Carson Wentz,QB,PHI,266.0,3.0,0.0,43.0,30.0,3.0,9.0,0.0,0.0,0.0,0.0,0.0,1.0,21.54,21.54,21.54
8,2019_15,Gardner Minshew,QB,JAX,201.0,2.0,0.0,29.0,17.0,5.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,18.74,18.74,18.74
9,2019_15,Kyler Murray,QB,ARI,219.0,1.0,1.0,25.0,19.0,8.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0,16.36,16.36,16.36
10,2019_15,Kirk Cousins,QB,MIN,207.0,1.0,1.0,25.0,19.0,3.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,11.68,11.68,11.68
